text@iau1978m	@iau1978m	400.2	411.0	Юр / расскажи мне // во-первых / как ты оказался в фильме / у Кристофера Нолана / которого многие / включая меня / считают одним из самых ярких режиссёров последних лет?
text@iau1978m	@iau1978m	415.54	416.1	угу
text@iau1978m	@iau1978m	418.6	421.35	ты так же // эээ // бэ... на пробах играл / как сейчас?
text@iau1978m	@iau1978m	424.005	429.555	а вот какие были пробы Нолана? то есть тебе тво... твой аге... твой агент звонит и говорит // Юра / интересуется Нолан  
text@iau1978m	@iau1978m	444.29	444.8	угу
text@iau1978m	@iau1978m	447.205	448.805	из-за пандемии / конечно
text@iau1978m	@iau1978m	460.105	460.945	из ть... "Матрица"?
text@iau1978m	@iau1978m	461.265	462.51	скажи // а чем вдруг
text@iau1978m	@iau1978m	463.695	466.805	то есть // ааа // то есть тебе не прислали текст?
text@iau1978m	@iau1978m	471.7	472.9	и просто что-то пришли?
text@iau1978m	@iau1978m	474.605	476.495	а / они тебе прислали монолог с "Матрицы"
text@iau1978m	@iau1978m	477.49	478.16	из другого фильма?
text@iau1978m	@iau1978m	479.7	482.0	а ты не подумал / что щас "Матрицу" переснимут и вместо?
text@iau1978m	@iau1978m	484.1	485.61	а / он не / он же
text@iau1978m	@iau1978m	526.902	529.092	я / на всякий случай / просто твою шутку отбил взглядом
text@iau1978m	@iau1978m	532.307	535.007	чтоб было понятно / что я не могу контролировать этот процесс
text@iau1978m	@iau1978m	537.497	540.902	нет // ну а #одновременно# // то есть всё / всё больша... большая тайна
text@iau1978m	@iau1978m	540.902	544.072	когда ты в первый раз получил с... вообще // ну сценарий // у ть... ты вообще
text@iau1978m	@iau1978m	557.007	559.197	где ты снимался? в какой стране ты снимался? расскажи мне
text@iau1978m	@iau1978m	559.702	560.632	пять // перечисляй
text@iau1978m	@iau1978m	561.607	562.197	естественно
text@iau1978m	@iau1978m	576.502	577.002	ужас
text@iau1978m	@iau1978m	583.802	591.24	знаешь / что отличает настоящего американского актёра от п... тех людей / здесь / которые думают / что они // ты говоришь не Лос-Анджелес / а Лас-Анджелес
text@iau1978m	@iau1978m	592.32	596.7	Лас-... ты ты ты вот не задумался об этом / а сказал Лас-Анджелес // и сразу понятно / что ты оттуда
text@iau1978m	@iau1978m	597.61	598.61	а я не оттуда
text@iau1978m	@iau1978m	600.055	600.625	молодец!
text@iau1978m	@iau1978m	600.86	602.9	вот // это в Эстонии / да? снималось
text@iau1978m	@iau1978m	608.5	610.4	там где машины // там где / да
text@iau1978m	@iau1978m	617.59	617.86	да
text@iau1978m	@iau1978m	618.345	618.685	да
text@iau1978m	@iau1978m	620.195	620.435	да
text@iau1978m	@iau1978m	622.145	622.385	да
text@iau1978m	@iau1978m	623.725	624.085	а это?
text@iau1978m	@iau1978m	628.065	629.755	то есть ты можешь наоборот?
text@iau1978m	@iau1978m	632.355	633.295	прочитай наоборот
text@iau1978m	@iau1978m	639.947	642.167	да / вот // простое болгарское шоу
text@iau1978m	@iau1978m	643.187	643.717	началось
text@iau1978m	@iau1978m	644.552	644.882	Юр
text@iau1978m	@iau1978m	646.727	647.307	давай покажем
text@iau1978m	@iau1978m	658.352	658.732	да
text@iau1978m	@iau1978m	659.252	659.852	водитель
text@iau1978m	@iau1978m	659.982	661.412	а / руль // и водитель сидит там
text@iau1978m	@iau1978m	662.557	664.457	то есть на самом деле машина едет так
text@iau1978m	@iau1978m	665.017	667.047	а актёр здесь делает вид / что он едет
text@iau1978m	@iau1978m	667.452	673.392	слушай // дело в том / что очень многие люди / их интересует / о чём фильм // более того / большинство из них уже посмотрели фильм
text@iau1978m	@iau1978m	675.817	677.457	правда // многие посмотрели фильм
text@iau1978m	@iau1978m	677.882	689.342	да / посмотрели фильм до конца / вот до конца // они не поняли // то есть я не прошу тебя рассказывать там / не знаю / главную тайну и нюансы // но ты для себя // вот как бы ты объяснил вот?
text@iau1978m	@iau1978m	690.547	693.937	ну не в двух // ну / ну хотя бы // вот как человек / который был там внутри
text@iau1978m	@iau1978m	695.802	696.112	давай
text@iau1978m	@iau1978m	697.307	697.497	да
text@iau1978m	@iau1978m	701.102	701.382	угу
text@iau1978m	@iau1978m	711.502	713.102	#смеётся#
text@iau1978m	@iau1978m	713.402	716.102	вот и ответ на вопрос / будешь ли ты ещё сниматься у Кристофера Нолана
text@iau1978m	@iau1978m	726.792	727.052	да
text@iau1978m	@iau1978m	731.002	731.792	сентября // да
text@iau1978m	@iau1978m	732.512	732.862	да
text@iau1978m	@iau1978m	756.805	760.295	но ты меня за... ну я бы сказал так / напугал
text@iau1978m	@iau1978m	761.4	766.4	но и заинтриговал // то есть эпо это про ра... ну у него об этом все фильмы // расслоение времени
text@iau1978m	@iau1978m	767.792	768.782	#нрзб#
text@iau1978m	@iau1978m	773.007	773.847	#нрзб#
text@iau1978m	@iau1978m	776.887	782.647	я поклонник его фильмов // мне понравится? я ещё не видел // вот если я поклонник его? я люблю вот это // да?
text@yak1980m	@yak1980m	413.48	418.6	ну / Вань // всё по таланту // как говорится // что? #смеётся#
text@yak1980m	@yak1980m	420.205	424.005	ему ж #смеётся# нет / там было посложнее
text@yak1980m	@yak1980m	424.7	427.0	эээ // ну / про... // ааа 
text@yak1980m	@yak1980m	428.2	429.1	да // да / да
text@yak1980m	@yak1980m	429.54	444.7	ааа // значит // система та же // уже м... не раз об этом рассказывал // но она везде одинаковая // что здесь / как попадать на проект / что там // тебе присылают // эээ // какое-то предложение // надо записать пробу самому / так называемый "self-tape" // здесь называется "самопробы"
text@yak1980m	@yak1980m	444.705	460.305	и слава Богу это сейчас стало очень активно работать // хотя наши артисты почему-то не любили // а я считаю наоборот / это всегда лучше // вот // я был в России / записал пробу // причём это было / был монолог какой-то длинный из // эээ // по-моему / из фильма "Матрица"
text@yak1980m	@yak1980m	460.965	461.205	да 
text@yak1980m	@yak1980m	461.705	464.005	сложный / такой сложный монолог // и
text@yak1980m	@yak1980m	467.44	471.6	не / не // просто монолог // эээ // режиссёр Кристофер Нолан // спасибо / работаем мальчики
text@yak1980m	@yak1980m	473.42	474.39	ну / монолог
text@yak1980m	@yak1980m	475.9	477.7	они / для пробы // да / для пробы
text@yak1980m	@yak1980m	478.19	480.5	из другого фильма / да // нет / с... с сценарием у
text@yak1980m	@yak1980m	481.59	484.59	не / не / не // ну со сценарием у Нолана очень всё
text@yak1980m	@yak1980m	485.615	503.86	 всё настолько жёстко // никогда этот сценарий нигде не пере... не посылался по интернету // мало того / даже вызовные никогда по интернету не вызывали... в смысле / не пересылались // фильм назывался по-другому в переписке // если кому-то надо было сценарий отправить / то был специальный человек / который летел там в Лондон // кому-то отправляли физический сценарий
text@yak1980m	@yak1980m	503.865	515.57	я на самом деле считаю / что это / это очень правильно / очень круто // поскольку / как бы он создаёт такую систему // ну как сказать // сконцентрированную / сложную // потому что фильмы сложные и так далее // и ты как бы творческую энергию не выпускаешь
text@yak1980m	@yak1980m	515.577	524.002	знаешь / как у нас бывает обычно // там всё это валяется на площадке / сценарий / листики там / то да сё / пятое - десятое // шашлык маш... машлык / как говорится // вот #смеётся#
text@yak1980m	@yak1980m	524.002	526.902	но // ааа #смеётся#
text@yak1980m	@yak1980m	527.307	529.907	#нрзб# #смеётся# спасибо
text@yak1980m	@yak1980m	529.907	534.177	#смеётся#
text@yak1980m	@yak1980m	535.002	537.002	#смеётся# этот монолог
text@yak1980m	@yak1980m	537.492	540.402	ну вот // ну собственно да // ну в общем я записал пробу
text@yak1980m	@yak1980m	543.967	547.507	ну я только на площадке уже прочитал // когда меня уже утвердили / и я уже приехал на площадку
